"key","EN","FR"
"title_field","title","titre"
"subtitle_field","subtitle","sous-titre"
"language_button_field","language","langue"
"test_text_menu","this is a test","Ceci est un test"
"description_ruelle","It's an alley","C'est une ruelle"
"description_key","You have found a key on a table, you can now open a door","Vous avez trouvé une clé sur une table, vous pouvez à présent ouvrir une porte"
"description_boulangerie","At this time of day, bakeries are the only businesses that are open. You take the opportunity to steal a loaf of bread. You gain 1 life point","À cette heure-ci les boulangeries font partie des seuls commerces à pouvoir ouvrir. Vous en profitez pour voler un pain. Vous gagnez 1 points de vie"
"description_voleur","You come across a thief from a distance. After seeing you, the thief begs you to spare him and gives you a key in exchange","Vous croisez un voleur de loin. Après vous avoir vu, le voleur vous supplie de l'épargner et vous donne en échange une clé"
"description_brique","You have finally reached the brick. You take it with you and decide to return to the starting point immediately","Vous êtes finalement arrivé jusqu'à la brique. Vous la prenez avec vous et décidez de retourner au point de départ immédiatement"
"description_arc_de_diane","You will find yourself at the Arc de Diane, a vestige of the Roman baths of Divona Cardurcorum (former name of Cahors).","Vous vous retrouvez à l'Arc de Diane, vestige des thermes Romaines de Divona Cardurcorum (ancien nom de Cahors)."
"description_cathedrale","You pass in front of the Saint-Etienne de Cahors cathedral. Somewhere in this building is the Sainte coiffe de Cahors, a mortuary cloth used for the burial of Jesus Christ (the child of your master's nemesis). Your mission is not yet to steal it, so you go on your way","Vous passez devant la cathédrale Saint-Étienne de Cahors. Il y a quelque part dans cet édifice-là Sainte coiffe de Cahors, linge mortuaire utilisé pour l'enterrement de Jésus-Christ (Fils du némésis de votre maître). Votre mission n'est pas encore de la voler, vous passez donc votre chemin"
"description_fontaine","You arrive at the Fontaine des Chartreux, place of worship of the goddess Nivona (goddess of the chasms and the sources). You notice at the bottom of the fountain several coins deposited by believers. You have an irresistible urge to steal them, but this is not your mission of the day.","Vous arrivez à la Fontaine des chartreux, lieux de culte de la déesse Nivona (déesse des gouffres et des sources). Vous remarquez au fond de la fontaine plusieurs pièces déposées par des croyants. Vous êtes pris d'une envie irrésistible de les voler mais ce n'est pas votre mission du jour."
"description_tour","You are in front of the Tower of the Hanged. Why Hanged? Simply because the various criminals captured by the local militia were hanged and exposed to the eyes of everyone in order to dissuade the villagers from committing crimes. Lucky for you that you can't get caught.","Vous êtes devant la Tour des Pendus. Pourquoi des pendus ? Tout simplement car les différents malfrats capturés par la milice locale étaient pendus et exposés aux yeux de tout le monde afin de dissuader les villageois de commettre des crimes. Une chance pour vous que vous ne puissiez pas vous faire attraper."